0,520,128,2160,300,0
0,0,300,150,1320,0
0,0,421,0,300,0
0,0,757,0,0,0
1,0,971,0,1320,0
1,0,3391,660,770,0
0,0,0,0,0,0
0,506,416,0,300,0
0,0,0,0,0,0
0,0,350,0,300,0
0,0,493,0,540,0
1,0,390,170,0,0
1,0,503,286,770,0
0,0,306,0,840,0
0,0,200,0,300,0
0,0,0,0,0,0
0,0,149,0,300,0
0,0,252,0,300,0
1,0,200,0,0,0
1,0,790,0,980,0
0,90,319,0,470,0
0,0,210,0,300,0
0,0,0,0,1000,0
1,0,2480,0,1360,0
0,0,310,0,300,3889
1,0,1235,0,540,0
1,0,2496,0,0,0
0,0,508,0,460,0
0,0,725,0,760,0
0,0,116,0,540,0
0,0,0,0,300,0
0,0,0,0,300,0
1,0,400,0,1540,0
1,0,1997,0,0,0
0,0,432,0,690,0
1,88,97,0,1700,0
0,0,672,0,0,0
0,0,950,0,300,0
0,0,506,0,760,0
1,0,0,0,540,0
1,0,698,0,1100,0
0,0,432,0,0,0
0,0,748,0,300,0
0,0,285,0,760,0
0,0,776,0,0,0
0,0,528,0,300,0
1,0,338,0,0,0
1,0,0,793,980,0
0,0,1046,0,0,0
0,0,359,0,300,0
0,0,841,0,760,0
0,0,412,0,300,0
0,0,680,0,300,0
1,0,1271,0,0,0
1,20,220,0,1100,0
0,230,953,0,460,0
0,0,623,0,300,0
0,0,730,0,300,0
